category,item,description,is_advanced,Debezium,Flink,Airbyte,Estuary,Arcion,Decodable,Hevo,Fivetran,Striim,StreamSets,Qlik,Upsolver,AWS,GCP
<b>Key facts</b>,<b>Homepage</b>,,FALSE,[Homepage](https://debezium.io/),[Homepage](https://ververica.github.io/flink-cdc-connectors/),[Homepage](https://airbyte.com/),[Homepage](https://www.estuary.dev/),[Homepage](https://www.arcion.io/),[Homepage](https://www.decodable.co/),[Homepage](https://hevodata.com/),[Homepage](https://www.fivetran.com/),[Homepage](https://www.striim.com/),[Homepage](https://streamsets.com/),[Homepage](https://www.qlik.com/us/products/qlik-replicate),[Homepage](https://www.upsolver.com/),[Homepage](https://aws.amazon.com/dms/),[Homepage](https://cloud.google.com/datastream )
,<b>Blog</b>,,FALSE,[Blog](https://debezium.io/blog/),[Blog](https://www.ververica.com/blog),[Blog](https://airbyte.com/blog),[Blog](https://www.estuary.dev/blog/),[Blog](https://www.arcion.io/blog),[Blog](https://www.decodable.co/blog),[Blog](https://hevodata.com/blog/),[Blog](https://www.fivetran.com/blog),[Blog](https://www.striim.com/blog/),[Blog](https://streamsets.com/blog/),[Blog](https://www.qlik.com/blog/qlik),[Blog](https://www.upsolver.com/blog),[Blog](https://aws.amazon.com/blogs/big-data/),[Blog](https://cloud.google.com/blog/topics/developers-practitioners/)
,<b>Pricing</b>,,FALSE,Free,Free,Free / Usage-based,Free / Usage-based,Usage-based,Usage-based,Usage-based,Usage-based,Usage-based,Usage-based?,Usage-based,Usage-based,Usage-based,Usage-based
,<b>Release notes</b>,,FALSE,[Release notes](https://debezium.io/releases/),[Release notes](https://github.com/ververica/flink-cdc-connectors/releases),[Release notes](https://docs.airbyte.com/category/release-notes/),,[Release notes](https://www.arcion.io/blog-categories/product-release ),[Release notes](https://docs.decodable.co/changelog) ,[Release notes](https://docs.hevodata.com/release-notes/),[Release notes](https://fivetran.com/docs/changelog),[Release notes](https://www.striim.com/docs/en/release-notes.html),[Release notes](https://docs.streamsets.com/release-notes/),[Release notes](https://community.qlik.com/t5/Release-Notes/tkb-p/ReleaseNotes),[Release notes](https://docs.upsolver.com/upsolver-1/change-log),[Release notes](https://docs.aws.amazon.com/dms/latest/userguide/CHAP_ReleaseNotes.html) ,[Release notes](https://cloud.google.com/datastream/docs/release-notes)
,<b>Deployment</b>,,FALSE,Self-hosted,Self-hosted,Self-hosted / SaaS,Self-hosted / SaaS,Self-hosted / SaaS,SaaS,SaaS,Self-hosted / SaaS,Self-hosted / SaaS,Self-hosted / SaaS,Self-hosted / SaaS,SaaS,SaaS,SaaS
,<b>Language</b>,,FALSE,Java,Java,Java,Rust/Go,Java,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,<b>Underlying architecture</b>,,FALSE,Kafka + Kafka Connect or Debezium Server,Flink/Debezium,[Link](https://docs.airbyte.com/understanding-airbyte/high-level-view/),,[Log staging + Metadata DB](https://assets.website-files.com/61b7127e64746d558d27873a/62fc24b0609081686b9e7515_Screen%20Shot%202022-08-16%20at%204.13.26%20PM.png),Flink,[Kafka](https://docs.hevodata.com/introduction/sys-architecture/pipeline-framework/),[Link](https://fivetran.com/docs/getting-started/architecture),[Kafka?](https://www.striim.com/blog/introducing-striim-cloud-data-streaming-and-integration-as-a-service/),,[In-memory](https://www.qlik.com/blog/the-architectural-principles-of-qlik-replicate-scalability-and-flexibility),[Link](https://cdn2.hubspot.net/hubfs/3866910/Whitepapers/WP%20Technical%20Whitepaper%20%28New%20Temp%29.pdf),[In-memory](https://docs.aws.amazon.com/dms/latest/userguide/CHAP_Introduction.Components.html),[In-memory](https://cloud.google.com/datastream#continuous-change-data-capture:-replicate-every-event-as-it-happens)
,<b>Roadmap</b>,,FALSE,[Roadmap](https://debezium.io/roadmap/),[Roadmap](https://github.com/ververica/flink-cdc-connectors/issues/1728),[Roadmap](https://app.harvestr.io/roadmap/view/pQU6gdCyc/launch-week-roadmap),n/a,,,,,,,,,, 
,<b>Backlog</b>,,FALSE,[Redhat](https://issues.redhat.com/projects/DBZ/issues?filter=allopenissues&orderby=watchers+DESC%2C+votes+DESC%2C+priority+DESC%2C+updated+DESC),[Github](https://github.com/ververica/flink-cdc-connectors/issues?q=is%3Aissue+is%3Aopen+sort%3Areactions-%2B1-desc),[Github](https://github.com/airbytehq/airbyte/issues?q=is%3Aissue+is%3Aopen+sort%3Areactions-%2B1-desc),[Github](https://github.com/estuary/flow),,,,,,,,,, 
<b>Setup and scalability</b>,<b>Schema/database; table & column filter</b>,<p><span class='c3'>(can users configure schema/database; table & column filtering?)</span></p>,FALSE,%Y%[<p>Link</p>](https://debezium.io/documentation/reference/stable/connectors/postgresql.html#postgresql-property-schema-include-list),%Y%[<p>Link</p>](),%Y%[<p>Link</p>](https://docs.airbyte.com/integrations/sources/postgres/#step-2-set-up-the-postgres-connector-in-airbyte),%Y%[<p>Link</p>](https://docs.estuary.dev/reference/Connectors/capture-connectors/PostgreSQL/) ,%Y%[<p>Link</p>](https://docs.arcion.io/docs/references/filter-reference/),%Y%[<p>Link</p>](https://docs.decodable.co/docs/connector-reference-postgres-cdc),%Y%[<p>Link</p>](https://docs.hevodata.com/sources/dbfs/databases/postgresql/generic-postgresql/),%Y%[<p>Link</p>](https://fivetran.com/docs/databases#excludingsourcedata) ,%Y%[<p>Link</p>](),%Y%[<p>Link</p>](),%Y%[<p>Link</p>](https://help.qlik.com/en-US/replicate/November2022/Content/Replicate/Main/MySQL/select_schema_mysql.htm#Selecting%20a%20schema),%Y%[<p>Link</p>](),%Y%[<p>Link</p>](https://docs.aws.amazon.com/SchemaConversionTool/latest/userguide/CHAP_Converting.html),%Y%[<p>Link</p>](https://cloud.google.com/datastream/docs/faq#general-source)
,<b>One-liner CLI program for database synchronization</b>,<p><span class='c3'>(can the user achieve full database synchronization using a single line of code?)</span></p>,TRUE,%N%,%N%,%N%,%N%,%Y%[<p>Link</p>](https://www.youtube.com/watch?v=XRAFNrhv5cI&t) ,%N%,%N%,%N%,%N%,%N%,%N%,%N%,%N%,%N%
,<b>Orchestration</b>,,FALSE,POST request with JSON config,SQL (Table/SQL API) or Flink Submit Job (DataStream API),UI or CLI (config in YAML),UI or CLI (config in YAML),UI; YAML-driven CLI; API,UI; CLI or API (config in SQL),UI,UI; CLI; API (config in JSON),UI; CLI or API (config in TQL),UI; API,UI; API,CLI; UI; API (config in SQL),UI; CLI; API (config in JSON),UI
<b>Syncs; transformations and schema changes</b>,<b>Auto switch</b>,<p><span class='c3'>(can the engine automatically switch from reading snapshot data to reading incremental data?)</span></p>,FALSE,%Y%,%Y%,%Y%,%Y%,%Y%,%Y%,%Y%,%Y%,%Y%,%Y%,%Y%,%Y%,%Y%[<p>Link</p>](https://docs.aws.amazon.com/dms/latest/userguide/CHAP_Introduction.HighLevelView.html),%Y%[<p>Link</p>](https://cloud.google.com/datastream/docs/behavior-overview)
,<b>Snapshot resilience</b>,<p><span class='c3'>(can snapshots be aborted/resumed without inconsistencies?)</span></p>,FALSE,%Y%[<p>Link</p>](https://debezium.io/documentation/reference/stable/connectors/postgresql.html#postgresql-triggering-an-incremental-snapshot),%Y%[<p>Link</p>](https://www.ververica.com/blog/the-release-of-flink-cdc-2.3),%N%,%Y%[<p>Link</p>](https://www.estuary.dev/3-reasons-to-rethink-your-approach-to-change-data-capture/) ,%Y%[<p>Link</p>]() ,%Y%[<p>Link</p>](https://docs.decodable.co/docs/sqlpipeline-reference#processing-guarantees),%N%,%N%[<p>Link</p>](https://fivetran.com/docs/databases#mustallowinitialsyncstorunwithoutinterruption),%N%,%N%,%Y%[<p>Link</p>](https://help.qlik.com/en-US/replicate/November2022/Content/Global_Common/Content/SharedEMReplicate/Tasks%20at%20Runtime/recovery_from_datafolder_loss.htm),%N%,%Y%[<p>Link</p>](https://docs.aws.amazon.com/dms/latest/userguide/CHAP_Task.CDC.html#CHAP_Task.CDC.StartPoint.Checkpoint) ,%N%
,<b>Auto table creation</b>,<p><span class='c3'>(can the engine automatically create destination tables without the user manually mapping schemas for each table?)</span></p>,TRUE,%N%,%N%,%N%,%Y%[<p>Link</p>](https://docs.estuary.dev/reference/Connectors/materialization-connectors/PostgreSQL/)  ,%Y%[<p>Link</p>](https://docs.arcion.io/docs/running-replicant/) ,%Y%[<p>Link</p>](),%Y%[<p>Link</p>](https://docs.hevodata.com/pipelines/schema-mapper/auto-mapping-event-types/),%Y%[<p>Link</p>](https://fivetran.com/docs/databases/postgresql#syncoverview)  ,%Y%[<p>Link</p>](),%Y%[<p>Link</p>](),%Y%[<p>Link</p>](https://help.qlik.com/en-US/replicate/November2022/Content/Replicate/Main/Introduction/Replication_Tasks.htm#Tasks%20overview)   ,%Y%[<p>Link</p>](),%Y%[<p>Link</p>](https://aws.amazon.com/dms/schema-conversion-tool/#Key_benefits_of_database_schema_conversion)  ,%Y%[<p>Link</p>](https://cloud.google.com/datastream/docs/behavior-overview)
,<b>Dynamic table reinitialization</b>,<p><span class='c3'>(can the engine smoothly adjust ongoing operations to add or remove tables while preserving existing state? [example](https://ververica.github.io/flink-cdc-connectors/release-2.2/content/connectors/mysql-cdc.html#scan-newly-added-tables))</span></p>,TRUE,%Y%[<p>Link</p>](https://debezium.io/blog/2021/10/07/incremental-snapshots/),%U%[<p>PR underway</p>](https://github.com/ververica/flink-cdc-connectors/issues/1152)Support for MySQL,%N%,%N%,%Y%[<p>Link</p>](https://docs.arcion.io/docs/references/dynamic-reinitialization/) ,%N%,%N%,%N%[<p>Link</p>](https://fivetran.com/docs/getting-started/fivetran-dashboard/connectors/schema#schemachanges),%N%,%N%,%Y%[<p>Link</p>](https://www.qlik.com/blog/the-architectural-principles-of-qlik-replicate-support-for-full-load-and-cdc-data-replication)   ,%N%,%N%,%N%
